cgpa,backlogs,internship_count,aptitude_score,communication_score,internship_quality_score,placement_status,salary,college_tier_Tier 2,college_tier_Tier 3,country_Germany,country_India,country_UK,country_USA,university_ranking_band_300+,university_ranking_band_Top 100,specialization_Cloud,specialization_Core CS,specialization_Cybersecurity,specialization_Data Science,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Other,industry_Tech
7.397371322408986,1,2,53.57415003139612,64.1770623342739,5.481449845806263,1,104124.36783788816,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6.889388559063052,0,1,60.68775004455637,88.34605151101644,4.6250993770765625,1,80586.83831262222,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
7.518150830480554,0,2,64.56874987048333,69.49317116258237,5.2279386281759805,1,114444.3180966268,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
8.21842388512642,0,3,73.46150014169774,78.20485411639238,5.150673764771964,1,120000.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
6.812677300221331,1,4,86.51812057832834,44.68088106241429,3.88882431409738,1,120000.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
6.812690434440656,0,1,72.87642974052716,72.10249464633432,2.917126940970302,0,0.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
8.263370252405913,1,2,61.93859438623628,71.83706817924204,3.366859764339363,1,37961.54539613216,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
7.613947783322327,2,1,50.04774635917131,68.58717209442507,4.153429959767777,0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6.624420491252038,0,3,70.13397901028965,78.08772721825375,5.026075476889981,1,45794.429304396224,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
7.434048034868772,3,2,89.74482741311338,57.892623733227765,3.137159368205172,0,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
6.62926584575003,1,2,64.2427866114618,73.08297386484615,4.778924891916042,1,99717.52925972376,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False
6.627416197143795,2,2,70.689006991967,63.40593450144939,3.761611949966063,0,0.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
7.193569817252827,3,3,86.67641935873844,85.7053658136009,2.551042299155627,0,0.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
5.469375804273762,3,3,46.17763264273984,57.28492923920147,3.5773458405382,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
5.620065733989573,2,3,68.46405012334303,74.07249778613271,4.941099542864968,0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
6.550169976607222,2,0,77.86078067759597,78.2987312252573,3.918667452539628,0,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6.189735103732461,1,0,65.14670894592736,48.96862443246512,6.973043920834743,1,120000.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
